UTM_X,UTM_Y
322936.0950468968,4164647.5967169846
322936.0950468968,4164647.5967169846
322936.0950468968,4164647.5967169846
322936.0950468968,4164647.5967169846
322936.0950468968,4164647.5967169846
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
322936.0950468968,4164647.5967169846
,
322936.0879408107,4164647.601679457
